prenom;nom;login;"ECTS acquis";Moyenne;"Choix 1";"Choix 2";"Choix 3";"Choix 4";"Choix 5";"Choix 6";"Choix 7";"Choix 8";password;pseudo;"profile picture";"birth date";adress;"attributed option";"pseudo bloquee"
Gabriel-Victor;Dupre;Gabriel-VictorDupre@cy-tech.fr;30;17,417;"IAC ";"HPDA ";"IAP ";"BI ";"VISUA ";"ICC ";"INEM ";CS;NEyp7T;Gabriel-Victor.Dupre;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;IAC;
Marc;Ribeiro;MarcRibeiro@cy-tech.fr;30;16,946;"ICC ";"IAP ";"HPDA ";"IAC ";"VISUA ";"INEM ";"CS ";BI;AcZnyj;Marc.Ribeiro;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;ICC;
Susan;Sauvage;SusanSauvage@cy-tech.fr;30;16,742;"IAC ";"BI ";"HPDA ";"IAP ";"ICC ";"CS ";"INEM ";VISUA;VcMv64;Susan.Sauvage;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;IAC;
Denis-Adrien;Alves;Denis-AdrienAlves@cy-tech.fr;30;16,662;"BI ";"IAC ";"CS ";"VISUA ";"ICC ";"INEM ";"HPDA ";IAP;9M@fu6;Denis-Adrien.Alves;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;BI;
Michel;Levy;MichelLevy@cy-tech.fr;30;16,572;"IAC ";"IAP ";"CS ";"ICC ";"INEM ";"VISUA ";"HPDA ";BI;UWdwLl;Michel.Levy;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;IAC;
Adélaïde;Boulay;AdélaïdeBoulay@cy-tech.fr;30;16,54;"IAC ";"IAP ";"HPDA ";"BI ";"CS ";"VISUA ";"ICC ";INEM;ZHmMd_;Adélaïde.Boulay;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;IAC;
Marthe;Seguin;MartheSeguin@cy-tech.fr;30;16,529;"CS ";"ICC ";"IAP ";"IAC ";"INEM ";"VISUA ";"BI ";HPDA;kujWb0;Marthe.Seguin;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;CS;
Noël;Jacquet;NoëlJacquet@cy-tech.fr;30;16,427;"CS ";"ICC ";"INEM ";"IAP ";"HPDA ";"IAC ";"VISUA ";BI;7lgp0u;Noël.Jacquet;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;CS;
Monique;Mallet;MoniqueMallet@cy-tech.fr;30;16,333;"IAP ";"ICC ";"IAC ";"INEM ";"VISUA ";"CS ";"HPDA ";BI;vi69Ns;Monique.Mallet;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;IAP;
Charles;Lamy-Besson;CharlesLamy-Besson@cy-tech.fr;30;16,301;"CS ";"HPDA ";"IAC ";"IAP ";"INEM ";"VISUA ";"ICC ";BI;_Y1Kea;Charles.Lamy-Besson;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;CS;
François;Herve;FrançoisHerve@cy-tech.fr;30;16,26;"INEM ";"CS ";"ICC ";"VISUA ";"IAP ";"IAC ";"HPDA ";BI;hyiMBU;François.Herve;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;INEM;
Marine;Hamel;MarineHamel@cy-tech.fr;30;16,199;"IAC ";"CS ";"HPDA ";"BI ";"IAP ";"ICC ";"INEM ";VISUA;9FOV48;Marine.Hamel;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;IAC;
Caroline;Marie;CarolineMarie@cy-tech.fr;30;16,129;"INEM ";"VISUA ";"IAC ";"CS ";"IAP ";"ICC ";"HPDA ";BI;2@5EoM;Caroline.Marie;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;INEM;
Jeannine;Lemaitre;JeannineLemaitre@cy-tech.fr;30;16,114;"CS ";"IAC ";"IAP ";"BI ";"HPDA ";"INEM ";"VISUA ";ICC;KxAe6w;Jeannine.Lemaitre;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;CS;
Joséphine;Humbert;JoséphineHumbert@cy-tech.fr;30;16,066;"ICC ";"IAP ";"HPDA ";"CS ";"INEM ";"VISUA ";"IAC ";BI;sZ87lV;Joséphine.Humbert;http://pm1.narvii.com/5780/88bf29254c876646f14743c72d0f18edd01256fe_00.jpg;;;ICC;
Benoît;Lenoir;BenoîtLenoir@cy-tech.fr;30;16,06;"IAC ";"VISUA ";"CS ";"BI ";"INEM ";"IAP ";"HPDA ";ICC;WWikQP;Benoît.Lenoir;https://i.ibb.co/PTsRNJN/sabikui-bisco-img.jpg;;;IAC;
Pénélope;Marty;PénélopeMarty@cy-tech.fr;30;16,038;"IAC ";"VISUA ";"CS ";"ICC ";"INEM ";"BI ";"IAP ";HPDA;lhk7xs;Pénélope.Marty;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;IAC;
Alfred;Ramos;AlfredRamos@cy-tech.fr;30;15,958;"CS ";"IAC ";"ICC ";"INEM ";"BI ";"IAP ";"HPDA ";VISUA;EUJ!zS;Alfred.Ramos;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;CS;
Philippine;Normand;PhilippineNormand@cy-tech.fr;30;15,873;"CS ";"IAC ";"IAP ";"VISUA ";"HPDA ";"INEM ";"BI ";ICC;0EcLcx;Philippine.Normand;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;CS;
Luc;Dufour-Gallet;LucDufour-Gallet@cy-tech.fr;30;15,779;"HPDA ";"IAC ";"IAP ";"ICC ";"CS ";"VISUA ";"BI ";INEM;o9nkkV;Luc.Dufour-Gallet;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;HPDA;
Corinne;Gros;CorinneGros@cy-tech.fr;30;15,758;"IAC ";"VISUA ";"BI ";"INEM ";"CS ";"IAP ";"HPDA ";ICC;_0h5qj;Corinne.Gros;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;IAC;
Isabelle;Dijoux;IsabelleDijoux@cy-tech.fr;30;15,746;"CS ";"ICC ";"IAC ";"INEM ";"HPDA ";"IAP ";"VISUA ";BI;DQ@JSh;Isabelle.Dijoux;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;CS;
Dominique;Gaillard;DominiqueGaillard@cy-tech.fr;30;15,715;"IAC ";"CS ";"VISUA ";"IAP ";"INEM ";"BI ";"ICC ";HPDA;tU5m@B;Dominique.Gaillard;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;IAC;
Pénélope;Ribeiro;PénélopeRibeiro@cy-tech.fr;30;15,709;"VISUA ";"BI ";"IAC ";"CS ";"INEM ";"ICC ";"IAP ";HPDA;!KQ_an;Pénélope.Ribeiro;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;VISUA;
Zacharie;Marchal;ZacharieMarchal@cy-tech.fr;30;15,695;"CS ";"INEM ";"ICC ";"VISUA ";"IAP ";"IAC ";"HPDA ";BI;p8QeuF;Zacharie.Marchal;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;CS;
Marc;Guillou;MarcGuillou@cy-tech.fr;30;15,646;"BI ";"IAC ";"CS ";"IAP ";"HPDA ";"ICC ";"VISUA ";INEM;qgZu-e;Marc.Guillou;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;BI;
Benjamin;Masson;BenjaminMasson@cy-tech.fr;30;15,623;"IAC ";"IAP ";"CS ";"BI ";"INEM ";"VISUA ";"ICC ";HPDA;uJB-zH;Benjamin.Masson;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;IAC;
Georges;Bonnet;GeorgesBonnet@cy-tech.fr;30;15,575;"INEM ";"IAP ";"IAC ";"CS ";"HPDA ";"BI ";"ICC ";VISUA;!1AwcQ;Georges.Bonnet;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;INEM;
Jérôme;Foucher;JérômeFoucher@cy-tech.fr;30;15,568;"ICC ";"IAP ";"INEM ";"VISUA ";"IAC ";"CS ";"HPDA ";BI;P8K_J4;Jérôme.Foucher;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;ICC;
Emmanuelle;Faure;EmmanuelleFaure@cy-tech.fr;30;15,567;"IAC ";"CS ";"VISUA ";"INEM ";"BI ";"IAP ";"ICC ";HPDA;hqSg@w;Emmanuelle.Faure;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;IAC;
David;Louis;DavidLouis@cy-tech.fr;30;15,55;"CS ";"IAC ";"VISUA ";"INEM ";"ICC ";"HPDA ";"BI ";IAP;qZUho-;David.Louis;http://pm1.narvii.com/5780/88bf29254c876646f14743c72d0f18edd01256fe_00.jpg;;;CS;
Andrée;Rocher;AndréeRocher@cy-tech.fr;30;15,535;"IAC ";"CS ";"IAP ";"VISUA ";"INEM ";"HPDA ";"ICC ";BI;3Mfjdx;Andrée.Rocher;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;IAC;
Gérard;Guerin;GérardGuerin@cy-tech.fr;30;15,527;"IAP ";"HPDA ";"IAC ";"ICC ";"INEM ";"VISUA ";"CS ";BI;Vl9PZY;Gérard.Guerin;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;IAP;
Caroline;Bailly;CarolineBailly@cy-tech.fr;30;15,491;"IAC ";"BI ";"VISUA ";"INEM ";"IAP ";"HPDA ";"ICC ";CS;72862k;Caroline.Bailly;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;IAC;
Christelle;Lucas;ChristelleLucas@cy-tech.fr;30;15,474;"CS ";"ICC ";"BI ";"INEM ";"IAC ";"IAP ";"VISUA ";HPDA;KLG27Q;Christelle.Lucas;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;CS;
Hugues;Morel;HuguesMorel@cy-tech.fr;30;15,468;"VISUA ";"ICC ";"IAP ";"CS ";"INEM ";"IAC ";"HPDA ";BI;_4Kdcq;Hugues.Morel;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;VISUA;
Thibault-Charles;Blanc;Thibault-CharlesBlanc@cy-tech.fr;30;15,448;"CS ";"IAC ";"BI ";"INEM ";"IAP ";"VISUA ";"ICC ";HPDA;-Rmwun;Thibault-Charles.Blanc;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;CS;
Étienne-Gilbert;Allard;Étienne-GilbertAllard@cy-tech.fr;30;15,348;"IAP ";"IAC ";"ICC ";"VISUA ";"INEM ";"CS ";"HPDA ";BI;1-pXbU;Étienne-Gilbert.Allard;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;IAP;
Zacharie;Bernard;ZacharieBernard@cy-tech.fr;30;15,305;"INEM ";"ICC ";"CS ";"IAP ";"HPDA ";"IAC ";"BI ";VISUA;3iH8ro;Zacharie.Bernard;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;INEM;
daisy;Lopez;daisyLopez@cy-tech.fr;30;15,276;"ICC ";"IAP ";"HPDA ";"CS ";"IAC ";"INEM ";"VISUA ";BI;eRx@jM;daisy.Lopez;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;ICC;
Émile-Olivier;Legendre;Émile-OlivierLegendre@cy-tech.fr;30;15,221;"IAC ";"IAP ";"BI ";"INEM ";"VISUA ";"HPDA ";"CS ";ICC;I2wRQq;Émile-Olivier.Legendre;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;IAC;
Claire;Leclerc;ClaireLeclerc@cy-tech.fr;30;15,212;"IAP ";"ICC ";"IAC ";"CS ";"INEM ";"VISUA ";"BI ";HPDA;wTiyOB;Claire.Leclerc;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;IAP;
Raymond;Bonnet;RaymondBonnet@cy-tech.fr;30;15,208;"CS ";"ICC ";"IAP ";"INEM ";"IAC ";"VISUA ";"BI ";HPDA;-9IJS3;Raymond.Bonnet;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;CS;
Clémence;Leblanc;ClémenceLeblanc@cy-tech.fr;30;15,206;"CS ";"BI ";"IAC ";"ICC ";"INEM ";"VISUA ";"IAP ";HPDA;FShueL;Clémence.Leblanc;https://pm1.narvii.com/6728/7b069c5a5499d33800b3e874cfbbc8591ef3009av2_hq.jpg;;;CS;
Gilbert;Marin;GilbertMarin@cy-tech.fr;30;15,169;"IAC ";"CS ";"VISUA ";"BI ";"INEM ";"IAP ";"ICC ";HPDA;0hvgIx;Gilbert.Marin;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;IAC;
Noémi;Humbert-Barbe;NoémiHumbert-Barbe@cy-tech.fr;30;15,128;"CS ";"BI ";"IAC ";"HPDA ";"VISUA ";"INEM ";"IAP ";ICC;glDf!L;Noémi.Humbert-Barbe;https://www.pngplay.com/wp-content/uploads/13/Sad-Pepe-Transparent-Free-PNG.png;;;CS;
Étienne;de;Étiennede@cy-tech.fr;30;15,089;"CS ";"INEM ";"HPDA ";"VISUA ";"IAC ";"ICC ";"BI ";IAP;EdAMGz;Étienne.de;https://i.pinimg.com/736x/4d/3e/d9/4d3ed9632b2134e0b60b9d30f333eee0.jpg;;;CS;
Philippine;de;Philippinede@cy-tech.fr;30;15,056;"INEM ";"VISUA ";"CS ";"ICC ";"IAP ";"IAC ";"BI ";HPDA;8m2MDd;Philippine.de;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;INEM;
Juliette;Thibault;JulietteThibault@cy-tech.fr;30;15,004;"IAC ";"IAP ";"VISUA ";"CS ";"INEM ";"HPDA ";"ICC ";BI;2elkm4;Juliette.Thibault;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;IAC;
François;de;Françoisde@cy-tech.fr;30;14,982;"VISUA ";"ICC ";"IAP ";"INEM ";"IAC ";"CS ";"BI ";HPDA;wJiWcf;François.de;http://pm1.narvii.com/5780/88bf29254c876646f14743c72d0f18edd01256fe_00.jpg;;;VISUA;
Léon;du;Léondu@cy-tech.fr;30;14,927;"IAP ";"IAC ";"ICC ";"HPDA ";"INEM ";"VISUA ";"BI ";CS;TUUkcy;Léon.du;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;IAP;
Maurice;Alves;MauriceAlves@cy-tech.fr;30;14,918;"INEM ";"VISUA ";"IAC ";"CS ";"HPDA ";"BI ";"IAP ";ICC;j-15o7;Maurice.Alves;https://www.101soundboards.com/storage/board_pictures/width/46/29138.webp?c=1643288470;;;INEM;
