prenom;nom;login;"ECTS acquis";Moyenne;"Choix 1";"Choix 2";password;pseudo;"profile picture";"birth date";adress;"attributed option";"pseudo bloquee"
Hélène;Courtois;HélèneCourtois@cy-tech.fr;30;15,992;Actu;MMF;7Sud8q;Hélène.Courtois;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;64230;MMF;;;
Charlotte;Le;CharlotteLe@cy-tech.fr;30;15,391;MMF;ACTU;@cRwLy;Charlotte.Le;https://i.pinimg.com/474x/bf/73/29/bf73292fbc9d0642f16ab20e49b7c9e2.jpg;;;MMF;
Laetitia;Rodrigues;LaetitiaRodrigues@cy-tech.fr;30;14,856;MMF;ACTU;E-qhUz;Laetitia.Rodrigues;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;MMF;
Lucie;Lefebvre;LucieLefebvre@cy-tech.fr;30;14,85;MMF;ACTU;25FMYs;Lucie.Lefebvre;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;MMF;
daisy;de;daisyde@cy-tech.fr;30;14,366;MMF;ACTU;pVvVQT;daisy.de;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;MMF;
Léon;Allain;LéonAllain@cy-tech.fr;30;14,299;MMF;ACTU;ByI720;Léon.Allain;https://i.pinimg.com/originals/c3/44/3a/c3443a3f13d7174680f1ced0642f7bce.jpg;;;MMF;
Virginie-Constance;Courtois;Virginie-ConstanceCourtois@cy-tech.fr;30;14,161;MMF;ACTU;Ge-fux;Virginie-Constance.Courtois;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;MMF;
Lucas;Morvan;LucasMorvan@cy-tech.fr;30;14,157;MMF;ACTU;ZsEIDL;Lucas.Morvan;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;MMF;
Simone;Ollivier;SimoneOllivier@cy-tech.fr;30;13,866;MMF;ACTU;ibe-uh;Simone.Ollivier;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;MMF;
Patricia;Guerin;PatriciaGuerin@cy-tech.fr;30;13,776;MMF;ACTU;SeS2wS;Patricia.Guerin;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;MMF;
