prenom;nom;login;"ECTS acquis";Moyenne;"Choix 1";"Choix 2";"Choix 3";"Choix 4";"Choix 5";"Choix 6";password;pseudo;"profile picture";"birth date";adress;"attributed option";"pseudo bloquee"
Susan;Benoit;SusanBenoit@cy-tech.fr;30;16,955;"IAP ";"IAC ";"HPDA ";"DS ";"FT ";BI;J5emu7;Susan.Benoit;https://pyxis.nymag.com/v1/imgs/d6a/dc7/4a5001b7beea096457f480c8808572428b-09-roll-safe.rsquare.w700.jpg;;;IAP;
Denis;de;Denisde@cy-tech.fr;30;16,91;"DS ";"BI ";"HPDA ";"IAC ";"IAP ";FT;9M3Rc6;Denis.de;https://www.photo21.fr/wp-content/uploads/2021/07/lama-coeur.jpg;;;DS;
Théodore;Nicolas;ThéodoreNicolas@cy-tech.fr;30;16,729;"HPDA ";"DS ";"IAP ";"IAC ";"BI ";FT;l3El9S;Théodore.Nicolas;https://media.lelombrik.net/t/0e9c5ce3b090e0ba1f925c0a8f83ec8b/p/01.jpg;;;HPDA;
Marguerite;Gauthier;MargueriteGauthier@cy-tech.fr;30;15,884;"DS ";"IAC ";"FT ";"BI ";"IAP ";HPDA;XTt4Pa;Marguerite.Gauthier;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;DS;
Stéphane;Ramos;StéphaneRamos@cy-tech.fr;30;15,226;"IAC ";"DS ";"FT ";"IAP ";"HPDA ";BI;-8OzzW;Stéphane.Ramos;https://www.renartleveille.com/wp-content/uploads/2010/01/Regard-de-canard.jpg;;;IAC;
Margaret;Chauvin;MargaretChauvin@cy-tech.fr;30;15,209;"DS ";"BI ";"HPDA ";"IAC ";"IAP ";FT;D5C1_u;Margaret.Chauvin;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;DS;
Philippine-Maryse;Pruvost;Philippine-MarysePruvost@cy-tech.fr;30;15,136;"IAP ";"HPDA ";"DS ";"IAC ";"FT ";BI;bG!_xJ;Philippine-Maryse.Pruvost;https://dpsmiles.net/storage/profile/VtU6lfNwd2H4pReB.jpg;;;IAP;
Rémy;Berger;RémyBerger@cy-tech.fr;30;15,052;"DS ";"BI ";"IAC ";"FT ";"IAP ";HPDA;qy5amv;Rémy.Berger;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfrlDDg5I1qbSDkYyWpOM_d3Y-cUCou0-meYGRCgncHWWVp3bp;;;DS;
Joseph;Richard;JosephRichard@cy-tech.fr;30;15,036;"DS ";"FT ";"BI ";"HPDA ";"IAC ";IAP;L6I1gA;Joseph.Richard;https://fastcdn.mobalytics.gg/assets/lol/images/dd/summoner-icons/4568.png;;;DS;
Jules;Tanguy;JulesTanguy@cy-tech.fr;30;15,016;"DS ";"FT ";"IAC ";"BI ";"HPDA ";IAP;A3Mb4X;Jules.Tanguy;https://fac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2FFAC.2Fvar.2Ffemmeactuelle.2Fstorage.2Fimages.2Fanimaux.2Fnews-animaux.2Fpandas-roux-nouvelles-cibles-braconniers-asie-47384.2F14864598-1-fre-FR.2Fpandas-roux-nouvelles-cibles-des-braconniers-en-asie.2Ejpg/1200x1200/quality/80/crop-from/center/pandas-roux-nouvelles-cibles-des-braconniers-en-asie.jpeg;;;DS;
